DiseaseCode,DiseaseNameVi,DiseaseNameEn,GroupCode,ICD10,MeSHOrUMLS,KeywordsVi,KeywordsEn,DescriptionVi,DescriptionEn
DIS-VN-025,Thoái hóa khớp,Osteoarthritis,MUSCULOSKELETAL,M19,,thoái hóa khớp,osteoarthritis;degenerative joint disease,Bệnh khớp mạn tính do thoái hóa sụn khớp,Chronic joint disease from cartilage degeneration
DIS-VN-026,Viêm khớp dạng thấp,Rheumatoid arthritis,MUSCULOSKELETAL,M06,,viêm khớp dạng thấp,rheumatoid arthritis;RA;inflammatory arthritis,Bệnh tự miễn gây viêm khớp mạn tính,Autoimmune disease causing chronic inflammatory arthritis
DIS-VN-027,Đau nửa đầu,Migraine,NEURO,G43,,đau nửa đầu,migraine;migraines;acute migraine,Rối loạn đau đầu từng cơn thường kèm buồn nôn hoặc sợ ánh sáng,Recurrent headache disorder often with nausea or photophobia
DIS-VN-028,Đau đầu,Headache,NEURO,R51,,đau đầu,headache;head pain;tension headache,Triệu chứng đau vùng đầu rất thường gặp,Very common symptom of head pain
DIS-VN-029,Động kinh,Epilepsy,NEURO,G40,,động kinh,epilepsy;seizure disorder;seizures,Rối loạn thần kinh gây các cơn co giật hoặc cơn động kinh,Neurologic disorder causing recurrent seizures
DIS-VN-030,Bệnh Parkinson,Parkinson disease,NEURO,G20,,parkinson;bệnh parkinson,parkinson disease;parkinson's disease;parkinsonism,Bệnh thoái hóa thần kinh ảnh hưởng vận động,Neurodegenerative movement disorder
DIS-VN-031,Bệnh Alzheimer,Alzheimer disease,NEURO,G30,,alzheimer;bệnh alzheimer,alzheimer disease;alzheimer's disease;dementia of alzheimer type,Bệnh thoái hóa thần kinh gây suy giảm trí nhớ,Neurodegenerative disease causing cognitive decline
DIS-VN-032,Trầm cảm,Depression,MENTAL,F32,,trầm cảm,depression;major depressive disorder;depressive disorder,Rối loạn khí sắc với buồn chán kéo dài,Mood disorder with persistent low mood
DIS-VN-033,Rối loạn lo âu,Anxiety disorder,MENTAL,F41,,lo âu;rối loạn lo âu,anxiety disorder;generalized anxiety disorder;anxiety,Rối loạn tâm thần với lo lắng quá mức,Mental health disorder with excessive worry
DIS-VN-034,Mất ngủ,Insomnia,MENTAL,G47.0,,mất ngủ,insomnia;sleeplessness;sleep disorder,Rối loạn giấc ngủ với khó vào giấc hoặc duy trì giấc ngủ,Sleep disorder with difficulty initiating or maintaining sleep
DIS-VN-035,Ung thư phổi,Lung cancer,CANCER,C34,,ung thư phổi,lung cancer;lung carcinoma;non-small cell lung cancer;small cell lung cancer,Ung thư xuất phát từ mô phổi,Cancer arising from lung tissue
DIS-VN-036,Ung thư gan,Liver cancer,CANCER,C22,,ung thư gan,liver cancer;hepatocellular carcinoma;hepatic cancer,Ung thư gan nguyên phát thường gặp ở Việt Nam,Primary liver cancer relevant in Vietnam
DIS-VN-037,Ung thư đại trực tràng,Colorectal cancer,CANCER,C18,,ung thư đại trực tràng;ung thư đại tràng;ung thư trực tràng,colorectal cancer;colon cancer;rectal cancer;colorectal carcinoma,Ung thư ở đại tràng hoặc trực tràng,Cancer of colon or rectum
DIS-VN-038,Ung thư vú,Breast cancer,CANCER,C50,,ung thư vú,breast cancer;breast carcinoma,Ung thư ác tính ở mô tuyến vú,Malignancy arising from breast tissue
DIS-VN-039,Ung thư cổ tử cung,Cervical cancer,CANCER,C53,,ung thư cổ tử cung,cervical cancer;cervix cancer;cervical carcinoma,Ung thư ác tính ở cổ tử cung,Malignancy of the cervix
DIS-VN-040,Ung thư dạ dày,Stomach cancer,CANCER,C16,,ung thư dạ dày,stomach cancer;gastric cancer;gastric carcinoma,Ung thư ác tính ở dạ dày,Malignancy of the stomach
DIS-VN-041,Suy giáp,Hypothyroidism,METABOLIC,E03.9,,suy giáp,hypothyroidism;underactive thyroid;thyroid hormone deficiency,Tình trạng tuyến giáp sản xuất thiếu hormone,Condition with insufficient thyroid hormone production
DIS-VN-042,Cường giáp,Hyperthyroidism,METABOLIC,E05,,cường giáp,hyperthyroidism;overactive thyroid;thyrotoxicosis,Tình trạng tuyến giáp hoạt động quá mức,Condition with excessive thyroid hormone activity
DIS-VN-043,Thiếu máu thiếu sắt,Iron deficiency anemia,HEMATOLOGY,D50,,thiếu máu thiếu sắt;thiếu sắt,iron deficiency anemia;iron-deficiency anemia;iron deficiency,Bệnh thiếu máu do thiếu sắt,Anemia caused by iron deficiency
DIS-VN-044,Viêm mũi dị ứng,Allergic rhinitis,DERM_ALLERGY,J30,,viêm mũi dị ứng;dị ứng mũi,allergic rhinitis;hay fever;seasonal allergies,Viêm mũi do phản ứng dị ứng,Allergic inflammation of the nasal mucosa
DIS-VN-045,Viêm da cơ địa,Atopic dermatitis,DERM_ALLERGY,L20,,viêm da cơ địa;chàm cơ địa,atopic dermatitis;eczema;atopic eczema,Bệnh viêm da mạn tính liên quan cơ địa dị ứng,Chronic inflammatory skin disease related to atopy
DIS-VN-046,Mày đay,Urticaria,DERM_ALLERGY,L50,,mày đay;mề đay,urticaria;hives;wheals,Phản ứng da gây sẩn phù và ngứa,Skin reaction causing wheals and itching
DIS-VN-047,Nấm da,Dermatophytosis,DERM_ALLERGY,B35,,nấm da;hắc lào;lang ben,dermatophytosis;tinea;ringworm;athlete's foot,Fungal infection of keratinized skin or nails,Fungal infection of skin hair or nails
DIS-VN-048,Viêm xoang,Sinusitis,EYE_ENT,J32,,viêm xoang,sinusitis;rhinosinusitis;sinus infection,Viêm niêm mạc các xoang cạnh mũi,Inflammation of paranasal sinus mucosa
DIS-VN-049,Viêm họng,Pharyngitis,EYE_ENT,J02,,viêm họng,pharyngitis;sore throat;throat infection,Viêm vùng họng thường do virus hoặc vi khuẩn,Inflammation of the pharynx often viral or bacterial
DIS-VN-050,Viêm amidan,Tonsillitis,EYE_ENT,J03,,viêm amidan;viêm amiđan,tonsillitis;tonsil infection;inflamed tonsils,Viêm tổ chức amidan ở họng,Inflammation of the tonsils
DIS-VN-051,Viêm phế quản,Bronchitis,RESPIRATORY,J40,,viêm phế quản,bronchitis;acute bronchitis;chronic bronchitis,Viêm đường dẫn khí lớn ở phổi,Inflammation of major airways in the lung
DIS-VN-052,Nhiễm khuẩn,Bacterial infection,INFECTIOUS,A49.9,,nhiễm khuẩn;nhiễm trùng do vi khuẩn,bacterial infection;bacterial infections;bacterial disease,Nhiễm trùng do vi khuẩn chưa xác định vị trí,Bacterial infection without a specified site
DIS-VN-053,Nhiễm trùng da,Skin infection,DERM_ALLERGY,L08.9,,nhiễm trùng da;nhiễm khuẩn da,skin infection;skin infections;cellulitis;impetigo,Bệnh nhiễm trùng ở da và mô mềm,Infection involving skin or soft tissue
DIS-VN-054,Nhiễm nấm,Fungal infection,INFECTIOUS,B49,,nhiễm nấm;bệnh nấm,fungal infection;fungal infections;mycosis;candidiasis,Nhiễm trùng do nấm ở một hoặc nhiều vị trí,Fungal infection at one or more sites
DIS-VN-055,Đau,Pain,SYMPTOM,R52,,đau;giảm đau,pain;pain relief;analgesia,Triệu chứng đau cấp hoặc mạn thường gặp,Common acute or chronic pain symptom
DIS-VN-056,Sốt,Fever,SYMPTOM,R50,,sốt;hạ sốt,fever;pyrexia;antipyretic,Triệu chứng tăng thân nhiệt do nhiều nguyên nhân,Elevated body temperature from many causes
DIS-VN-057,Buồn nôn và nôn,Nausea and vomiting,SYMPTOM,R11,,buồn nôn;nôn,nausea;vomiting;emesis;antiemetic,Triệu chứng tiêu hóa gồm buồn nôn hoặc nôn,Gastrointestinal symptom of nausea or vomiting
DIS-VN-058,Táo bón,Constipation,DIGESTIVE,K59.0,,táo bón,constipation;chronic constipation;bowel constipation,Rối loạn đi tiêu với phân khô hoặc khó đi,Defecation disorder with hard stool or difficult passage
DIS-VN-059,Loãng xương,Osteoporosis,MUSCULOSKELETAL,M81,,loãng xương,osteoporosis;low bone density;bone loss,Bệnh giảm mật độ xương làm tăng nguy cơ gãy xương,Disease of reduced bone density with fracture risk
DIS-VN-060,Thiếu máu,Anemia,HEMATOLOGY,D64.9,,thiếu máu,anemia;anaemia,Rối loạn giảm số lượng hồng cầu hoặc hemoglobin,Disorder with reduced red cells or hemoglobin
DIS-VN-061,Nhiễm khuẩn huyết,Sepsis,INFECTIOUS,A41.9,,nhiễm khuẩn huyết;nhiễm trùng huyết,sepsis;septicemia;septicaemia;septic shock,Đáp ứng nhiễm trùng nặng có nguy cơ suy tạng,Severe infection response with risk of organ dysfunction
DIS-VN-062,Sốt rét,Malaria,INFECTIOUS,B54,,sốt rét,malaria;plasmodium infection,Bệnh ký sinh trùng do muỗi truyền còn liên quan ở một số vùng,Mosquito borne parasitic disease relevant in some regions
DIS-VN-063,Thương hàn,Typhoid fever,INFECTIOUS,A01.0,,thương hàn;sốt thương hàn,typhoid fever;enteric fever;salmonella typhi,Nhiễm Salmonella typhi gây sốt kéo dài,Systemic Salmonella typhi infection causing prolonged fever
DIS-VN-064,Viêm tai giữa,Otitis media,EYE_ENT,H66,,viêm tai giữa,otitis media;middle ear infection,Bệnh viêm nhiễm tai giữa thường gặp ở trẻ em,Middle ear inflammation or infection common in children
DIS-VN-065,Viêm kết mạc,Conjunctivitis,EYE_ENT,H10,,viêm kết mạc;đau mắt đỏ,conjunctivitis;pink eye;red eye,Viêm kết mạc mắt do nhiễm trùng hoặc dị ứng,Inflammation of conjunctiva due to infection or allergy
DIS-VN-066,Tăng nhãn áp,Glaucoma,EYE_ENT,H40,,tăng nhãn áp;glaucoma,glaucoma;ocular hypertension,Bệnh mắt làm tổn thương thần kinh thị giác,Eye disease causing optic nerve damage
DIS-VN-067,Phì đại tuyến tiền liệt lành tính,Benign prostatic hyperplasia,RENAL_URO,N40,,phì đại tuyến tiền liệt;tăng sản tuyến tiền liệt lành tính,benign prostatic hyperplasia;BPH;enlarged prostate,Tình trạng phì đại lành tính tuyến tiền liệt ở nam giới,Benign enlargement of the prostate in men
DIS-VN-068,Lạc nội mạc tử cung,Endometriosis,GYNECOLOGY,N80,,lạc nội mạc tử cung,endometriosis;endometriotic lesion,Bệnh phụ khoa do mô nội mạc tử cung nằm ngoài buồng tử cung,Gynecologic condition with endometrial tissue outside the uterus
DIS-VN-069,Hội chứng buồng trứng đa nang,Polycystic ovary syndrome,GYNECOLOGY,E28.2,,buồng trứng đa nang;hội chứng buồng trứng đa nang,polycystic ovary syndrome;PCOS;polycystic ovarian syndrome,Rối loạn nội tiết sinh sản thường gặp ở nữ,Common reproductive endocrine disorder in women
DIS-VN-070,Béo phì,Obesity,METABOLIC,E66,,béo phì;thừa cân,obesity;overweight;weight management;weight loss,Tình trạng tích lũy mỡ thừa ảnh hưởng sức khỏe,Excess body fat accumulation affecting health
