CandidateDiseaseCode,CandidateDiseaseNameEn,CandidateDiseaseNameVi,SuggestedGroupCode,MatchedKeyword,EvidenceField,EvidenceCount,SampleDrugNames,EvidenceSnippet,Action
CAND-DIS-0011,Obstructive Pulmonary Disease,,RESPIRATORY,Chronic Obstructive Pulmonary Disease; Obstructive Pulmonary Disease,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,9,VARENICLINE (Varenicline); AMLODIPINE BESYLATE (Amlodipine Besylate); POMALIDOMIDE (Pomalidomide); PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE (PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE); TIOTROPIUM BROMIDE AND OLODATEROL (Stiolto Respimat),"psoriasis. Vascular Disorders. Infrequent: hot flush. Rare: thrombosis. Varenicline has also been studied in postmarketing trials including (1) a trial conducted in patients with chronic obstructive pulmonary disease (COPD), (2) a trial conducted in generally healthy patients (similar to those in the premarketing studies) in which they were allowed to select a quit date between days 8 and 35 o || se of amlodipine. Postmarketing reporting has also revealed a possible association between extrapyramidal disorder and amlodipine. Amlodipine has been used safely in patients with chronic obstructive pulmonary disease, well-compensated congestive heart failure, coronary artery disease, peripheral vascular disease, diabetes mellitus, and abnormal lipid profiles. || se of amlodipine. Postmarketing reporting has also revealed a possible association between extrapyramidal disorder and amlodipine. Amlodipine has been used safely in patients with chronic obstructive pulmonary disease, well-compensat",NEED_REVIEW
CAND-DIS-0012,Irritable Bowel Syndrome,,DIGESTIVE,Irritable Bowel Syndrome,KnownIndications; SideEffectsWarnings,7,POLYETHYLENE GLYCOL 3350 (purelax); LUBIPROSTONE (Lubiprostone); DICYCLOMINE HYDROCHLORIDE (Dicyclomine hydrochloride); CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE (Chlordiazepoxide Hydrochloride and Clidinium Bromide); HYOSCYAMINE SULFATE (Hyoscyamine ER),"t under the advice and supervision of a doctor Ask a doctor before use if you have • nausea, vomiting or abdominal pain • a sudden change in bowel habits that lasts over 2 weeks • irritable bowel syndrome Ask a doctor or pharmacist before use if you are taking a prescription drug When using this product you may have loose, watery, more frequent stools Stop use and ask a doctor if • || .2 ) Limitations of Use: Effectiveness of lubiprostone in the treatment of OIC in patients taking diphenylheptane opioids (e.g., methadone) has not been established. ( 1.2 , 7.1 ) irritable bowel syndrome with constipation (IBS-C) in women ≥ 18 years old. ( 1.3 ) 1.1 Chronic Idiopathic Constipation in Adults Lubiprostone is indicated for the treatment of chronic idiopathic constipa || iprostone in the treatment of opioid-induced constipation in patients taking diphenylheptane opioids (e.g., methadone) has not been established. [see Clinical Studies (14.2) ] 1.3 Irritable Bowel Syndrome with Constipation L",NEED_REVIEW
CAND-DIS-0013,Latent Tuberculosis,,INFECTIOUS,Latent Tuberculosis,SideEffectsWarnings,7,FLUDROCORTISONE ACETATE (Fludrocortisone Acetate); PREDNISONE (PredniSONE); HYDROCORTISONE ACETATE (Cortifoam); BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE (Betaloan SUIK); DEXAMETHASONE (Dexamethasone),"tuberculosis in which the corticosteroid is used for the management of the disease in conjunction with an appropriate antituberculous regimen. If corticosteroids are indicated in patients with latent tuberculosis or tuberculin reactivity, close observation is necessary since reactivation of the disease may occur. During prolonged corticosteroid therapy these patients should receive chemoprophylaxis. Children who are on immunosuppressant drugs are more susceptible to infections than health || tuberculosis in which the corticosteroid is used for the management of the disease in conjunction with an appropriate anti-tuberculous regimen. If corticosteroids are indicated in patients with latent tuberculosis or tuberculin reactivity, close observation is necessary as reactivation of the disease may occur. During prolonged corticosteroid therapy, these patients should receive chemoprophylaxis. Children who are on immunosuppressant drugs are more susceptible to infections than healt || ed by se",NEED_REVIEW
CAND-DIS-0014,Liver Disease,,OTHER,Liver Disease,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,7,LEFLUNOMIDE (Leflunomide); FENOFIBRATE (Fenofibrate); ENOXAPARIN SODIUM (Enoxaparin Sodium); PENICILLAMINE (Penicillamine); LOVASTATIN (Lovastatin),"aindicated in patients with severe hepatic impairment. Concomitant use of leflunomide with other potentially hepatotoxic drugs may increase the risk of liver injury. Patients with pre-existing acute or chronic liver disease, or those with serum alanine aminotransferase (ALT) >2xULN before initiating treatment, are at increased risk and should not be treated with leflunomide. Monitor ALT levels at least monthly for six months after starting leflunomide, and thereafter every 6 to 8 weeks. If leflu || hers ( 4 , 8.2 ). Fenofibrate is contraindicated in: patients with severe renal impairment, including those receiving dialysis [see CLINICAL PHARMACOLOGY ( 12.3 )] . patients with active liver disease, including those with primary biliary cirrhosis and unexplained persistent liver function abnormalities [see WARNINGS AND PRECAUTIONS ( 5.2 )] . patients with preexisting gallbladd || hers ( 4 , 8.2 ). Fenofibrate is contraindicated in: patients with severe renal impairment, including those rec",NEED_REVIEW
CAND-DIS-0015,Serotonin Syndrome,,OTHER,Serotonin Syndrome,ContraindicationsInteractions; SideEffectsWarnings,7,SERTRALINE HYDROCHLORIDE (Sertraline Hydrochloride); DULOXETINE HYDROCHLORIDE (Duloxetine Delayed-Release); VENLAFAXINE (Venlafaxine); NORTRIPTYLINE HYDROCHLORIDE (NORTRIPTYLINE HYDROCHLORIDE); FLUOXETINE HYDROCHLORIDE (Fluoxetine),ting Sertraline hydrochloride in a patient who is being treated with MAOIs such as linezolid or intravenous methyelene blue is also contraindicated because of an increased risk of serotonin syndrome (see WARNINGS and DOSAGE AND ADMINISTRATION). Concomitant use in patients taking pimozide is contraindicated (see PRECAUTIONS ). Sertraline is contraindicated in patients with a hypersensitivity to sertraline or any of the i || sorders with Duloxetine delayed-release capsules or within 5 days of stopping treatment with Duloxetine delayed-release capsules is contraindicated because of an increased risk of serotonin syndrome. The use of Duloxetine delayed-release capsules within 14 days of stopping an MAOI intended to treat psychiatric disorders is contraindicated [see Dosage and Administration (2.8) || sorders with Duloxetine delayed-release capsules or within 5 days of stopping treatment with Duloxetine delayed-release capsules is contraindicated because of an increased risk of serotonin sy,NEED_REVIEW
CAND-DIS-0016,Acne Vulgaris,,DERMATOLOGY,Acne Vulgaris,KnownIndications; MechanismOfAction; SideEffectsWarnings,6,"ERYTHROMYCIN (erythromycin); CLINDAMYCIN PHOSPHATE (Clindamycin Phosphate); TAZAROTENE (TAZORAC); SULFACETAMIDE SODIUM, SULFUR (SODIUM SULFACETAMIDE AND SULFUR)","INDICATIONS AND USAGE Erythromycin Topical Solution USP, 2% is indicated for the topical treatment of acne vulgaris. || INDICATIONS AND USAGE Clindamycin phosphate topical lotion is indicated in the treatment of acne vulgaris. In view of the potential for diarrhea, bloody diarrhea and pseudomembranous colitis, the physician should consider whether other agents are more appropriate (see CONTRAINDICATION || Mechanism of Action The mechanism of action of clindamycin in treating acne vulgaris is unknown.",NEED_REVIEW
CAND-DIS-0017,Neonatal Opioid Withdrawal Syndrome,,OTHER,Neonatal Opioid Withdrawal Syndrome,SideEffectsWarnings,6,TRAMADOL HYDROCHLORIDE (TRAMADOL HYDROCHLORIDE); CODEINE SULFATE (Codeine sulfate); PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE (PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE); OXYCODONE HYDROCHLORIDE (Oxycodone Hydrochloride); ACETAMINOPHEN AND CODEINE PHOSPHATE (Acetaminophen and Codeine Phosphate),"rnings and Precautions (5.3), Drug Interactions (7)] . Neonatal Opioid Withdrawal Syndrome (NOWS) Advise pregnant women using opioids for an extended period of time of the risk of Neonatal Opioid Withdrawal Syndrome, which may be life-threatening if not recognized and treated. Ensure that management by neonatology experts will be available at delivery [see Warnings and Precautions (5.4)] . Opioid Analgesic Risk Evaluation and Mitigation Strategy (REMS) || ired; and follow patients for signs and symptoms of respiratory depression and sedation. (5.3, 7) Advise pregnant women using opioids for an extended period of time of the risk of Neonatal Opioid Withdrawal Syndrome, which may be lifethreatening if not recognized and treated. Ensure that management by neonatology experts will be available at delivery. (5.4) • Healthcare providers are strongly encouraged to complete a REMS-compliant education program a || gs and Precautions ( 5.3 ), Drug Interactions ( 7 )] . Neonatal Opioid Withdrawal",NEED_REVIEW
CAND-DIS-0018,Respiratory Depression,,RESPIRATORY,Respiratory Depression,SideEffectsWarnings,6,TRAMADOL HYDROCHLORIDE (TRAMADOL HYDROCHLORIDE); CODEINE SULFATE (Codeine sulfate); PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE (PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE); OXYCODONE HYDROCHLORIDE (Oxycodone Hydrochloride); ACETAMINOPHEN AND CODEINE PHOSPHATE (Acetaminophen and Codeine Phosphate),"l respiratory depression may occur with use of tramadol hydrochloride extended-release tablets , especially during initiation or following a dosage increase. To reduce the risk of respiratory depression, proper dosing and titration of tramadol hydrochloride extended-release tablets are essential [see Warnings and Precautions (5.2)]. Instruct patients to swallow tramadol hydrochloride extended-release tablets whole to avoid exposure to a potentially fatal dose of tramadol [see Warnings and Precau || aviors and conditions. (5.1) Serious, life-threatening, or fatal respiratory depression may occur, especially upon initiation or following a dosage increase. To reduce the risk of respiratory depression, proper dosing and titration are essential. Instruct patients to swallow tramadol hydrochloride extended-release tablets whole to avoid exposure to a potentially fatal dose of tramadol. (5.2) Accidental ingestion of tramad || life-threatening, or fatal respiratory depression may occur with us",NEED_REVIEW
CAND-DIS-0019,Serotonin Syndrome See Warnings,,OTHER,Serotonin Syndrome See Warnings,ContraindicationsInteractions,6,SERTRALINE HYDROCHLORIDE (Sertraline Hydrochloride); ZIPRASIDONE (ziprasidone); TRAZODONE HYDROCHLORIDE (Trazodone Hydrochloride); CITALOPRAM HYDROBROMIDE (Citalopram); VENLAFAXINE (Venlafaxine),"ting Sertraline hydrochloride in a patient who is being treated with MAOIs such as linezolid or intravenous methyelene blue is also contraindicated because of an increased risk of serotonin syndrome (see WARNINGS and DOSAGE AND ADMINISTRATION). Concomitant use in patients taking pimozide is contraindicated (see PRECAUTIONS ). Sertraline is contraindicated in patients with a hypersensitivity to sertraline or any of the i || rasidone is contraindicated in patients taking, or within 14 days of stopping, MAOIs (including the MAOIs linezolid and intravenous methylene blue) because of an increased risk of serotonin syndrome [see Warnings and Precautions (5.4) , Drug Interaction (7.3) ]. || ients taking, or within 14 days of stopping, monoamine oxidase inhibitors (MAOIs), including MAOIs such as linezolid or intravenous methylene blue, because of an increased risk of serotonin syndrome [see Warnings and Precautions ( 5.2 ), Drug Interactions ( 7.1 )].",NEED_REVIEW
CAND-DIS-0020,type 1 Diabetes,,METABOLIC,type 1 Diabetes,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,6,GLIMEPIRIDE (Glimepiride); GLIPIZIDE (Glipizide); SITAGLIPTIN AND METFORMIN HYDROCHLORIDE (ZITUVIMET); COLESEVELAM HYDROCHLORIDE (COLESEVELAM HYDROCHLORIDE); DAPAGLIFLOZIN (FARXIGA),"to improve glycemic control in adults with type 2 diabetes mellitus [see Clinical Studies (14.1) ]. Limitations of Use Glimepiride tablets should not be used for the treatment of type 1 diabetes mellitus or diabetic ketoacidosis, as it would not be effective in these settings. Glimepiride tablets are a sulfonylurea indicated as an adjunct to diet and exercise to improve g || ets are a sulfonylurea indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus ( 1 ). Limitations of Use: Not for treating type 1 diabetes mellitus or diabetic ketoacidosis ( 1 ). || CONTRAINDICATIONS Glipizide is contraindicated in patients with: 1. Known hypersensitivity to the drug. 2. Type 1 diabetes mellitus, diabetic ketoacidosis, with or without coma. This condition should be treated with insulin.",NEED_REVIEW
CAND-DIS-0021,Low-renin Hypertension,,CARDIO,Low-renin Hypertension,MechanismOfAction,5,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS (Lisinopril and Hydrochlorothiazide); LISINOPRIL AND HYDROCHLOROTHIAZIDE (Lisinopril and Hydrochlorothiazide); RAMIPRIL (Ramipril); LISINOPRIL (Lisinopril); AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE (Amlodipine and Benazepril Hydrochloride),"gh which lisinopril lowers blood pressure is believed to be primarily suppression of the renin-angiotensin-aldosterone system, lisinopril is antihypertensive even in patients with low-renin hypertension. Although lisinopril was antihypertensive in all races studied, Black hypertensive patients (usually a low-renin hypertensive population) had a smaller average response to lisinop || gh which lisinopril lowers blood pressure is believed to be primarily suppression of the renin-angiotensin-aldosterone system, lisinopril is antihypertensive even in patients with low-renin hypertension. Although lisinopril was antihypertensive in all races studied, Black hypertensive patients (usually a low-renin hypertensive population) had a smaller average response to lisinop || gh which lisinopril lowers blood pressure is believed to be primarily suppression of the renin-angiotensin-aldosterone system, lisinopril is antihypertensive even in patients with low-renin hypertension. Although lisinopril was ",NEED_REVIEW
CAND-DIS-0022,Non-melanoma Skin Cancer,,CANCER,Non-melanoma Skin Cancer,SideEffectsWarnings,5,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS (Lisinopril and Hydrochlorothiazide); LISINOPRIL AND HYDROCHLOROTHIAZIDE (Lisinopril and Hydrochlorothiazide); OLMESARTAN MEDOXOMIL-HYDROCHLOROTHIAZIDE (olmesartan medoxomil-hydrochlorothiazide); HYDROCHLOROTHIAZIDE (Hydrochlorothiazide); TRIAMTERENE AND HYDROCHLOROTHIAZIDE (Triamterene and Hydrochlorothiazide),"itis), respiratory distress including pneumonitis and pulmonary edema, anaphylactic reactions. Non-melanoma Skin Cancer Hydrochlorothiazide is associated with an increased risk of non-melanoma skin cancer. In a study conducted in the Sentinel System, increased risk was predominantly for squamous cell carcinoma (SCC) and in white patients taking large cumulative doses. The increased || itis), respiratory distress including pneumonitis and pulmonary edema, anaphylactic reactions. Non-melanoma Skin Cancer Hydrochlorothiazide is associated with an increased risk of non-melanoma skin cancer. In a study conducted in the Sentinel System, increased risk was predominantly for squamous cell carcinoma (SCC) and in white patients taking large cumulative doses. The increased || ss including pneumonitis and pulmonary edema, anaphylactic reactions. Postmarketing Experience Non-melanoma Skin Cancer Hydrochlorothiazide is associated with an increased risk of non-melanoma skin cancer. In a study conduct",NEED_REVIEW
CAND-DIS-0023,Panic Disorder,,OTHER,Panic Disorder,KnownIndications; SideEffectsWarnings,5,SERTRALINE HYDROCHLORIDE (Sertraline Hydrochloride); FLUOXETINE HYDROCHLORIDE (Fluoxetine); ALPRAZOLAM (Alprazolam),"dying; (12) paresthesias (numbness or tingling sensations); (13) chills or hot flushes. The efficacy of Sertraline hydrochloride in maintaining a response, in adult patients with panic disorder who responded during a 52-week treatment phase while taking Sertraline hydrochloride and were then observed for relapse during a period of up to 28 weeks, was demonstrated in a pl || dying; (12) paresthesias (numbness or tingling sensations); (13) chills or hot flushes. The efficacy of Sertraline hydrochloride in maintaining a response, in adult patients with panic disorder who responded during a 52-week treatment phase while taking Sertraline hydrochloride and were then observed for relapse during a period of up to 28 weeks, was demonstrated in a pl || of Sertraline hydrochloride (incidence of at least 5% for Sertraline hydrochloride and at least twice that for placebo within at least one of the indications) for the treatment of adult patients with major depressive disorder/other*, OCD, panic d",NEED_REVIEW
